trial_id,run_name,run_dir,model,learning_rate,hidden_size,ECE,RMSE,R2,grad_norm,timestep,task,seq_len,lr,batch_size,epochs,val_ratio,split_seed,dropout,train_path,val_path,test_path,max_features,max_seq_len,mlp_hidden_sizes,deep_hidden_sizes,rnn_hidden_size,rnn_num_layers,lstm_hidden_size,lstm_num_layers,residual_hidden_size,residual_num_blocks,best_val_loss,best_epoch,final_val_loss,final_train_loss,final_ece,final_grad_norm,final_rmse,final_r2,final_val_accuracy,final_train_accuracy,final_val_precision,final_val_recall,final_val_f1,final_val_brier,final_val_avg_confidence,final_val_confidence_correct,final_val_confidence_incorrect,training_time,num_parameters,test_accuracy,test_ece,test_f1_score,test_precision,test_recall,test_brier_score,test_avg_confidence,test_confidence_correct,test_confidence_incorrect
1,d3_lr0.001,results/hyperparameter_tuning\deep_mlp\runs\d3_lr0.001,deep,0.001,128,0.006977892817345849,nan,nan,0.0021265291844537897,50,classification,50,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128,128,1,128,1,128,3,0.048277846292108934,6,0.05269577618480496,0.0001186267085912426,0.006977892817345849,0.0021265291844537897,nan,nan,0.9875536480686695,1.0,0.9560074105994588,0.9569774595340758,0.9563790818415971,0.018633864808581257,0.9945315718650818,0.9973849058151245,0.7681302428245544,56.91367989999708,290700.0,0.990990990990991,0.004466607572182441,0.929611818214171,0.988552353360595,0.9204163619365348,0.014920660574522546,0.9937114119529724,0.9956494569778442,0.780533492565155
2,d3_lr0.01,results/hyperparameter_tuning\deep_mlp\runs\d3_lr0.01,deep,0.01,128,0.0059934522205156385,nan,nan,0.0002692882268764763,50,classification,50,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128,128,1,128,1,128,3,0.02817618695643327,3,0.07727723554344577,1.632106568605846e-05,0.0059934522205156385,0.0002692882268764763,nan,nan,0.9909871244635193,1.0,0.9632376164908951,0.9744224146944654,0.9683192492834571,0.015577439247420645,0.9971300363540649,0.998526930809021,0.8435259461402893,70.87797769997269,290700.0,0.9918489918489919,0.006876384608482703,0.9567345355558173,0.9689957812820568,0.9487988193672924,0.014864336885905096,0.9980862736701965,0.9990020990371704,0.8866286277770996
3,d3_lr0.0001,results/hyperparameter_tuning\deep_mlp\runs\d3_lr0.0001,deep,0.0001,128,0.019880778595101713,nan,nan,0.17386962279639442,50,classification,50,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128,128,1,128,1,128,3,0.05599927294663605,20,0.05599927294663605,0.03148894926714177,0.019880778595101713,0.17386962279639442,nan,nan,0.9905579399141631,0.9966890462613814,0.9054469649081874,0.9075923450125539,0.9064284735947504,0.02138930025877376,0.9710941910743713,0.9743053913116455,0.634212851524353,70.38972239999566,290700.0,0.9905619905619906,0.01736755043280993,0.904731773520061,0.9054937132874238,0.9041379389895003,0.020353763682719073,0.9734271168708801,0.9764389991760254,0.6573302149772644
4,d3_lr0.0005,results/hyperparameter_tuning\deep_mlp\runs\d3_lr0.0005,deep,0.0005,128,0.003762184051484988,nan,nan,0.004479295893146947,50,classification,50,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128,128,1,128,1,128,3,0.03150045702897428,14,0.031647523150423566,0.00025747119355062394,0.003762184051484988,0.004479295893146947,nan,nan,0.9914163090128756,1.0,0.955549385756429,0.9641152349784798,0.9594775005238105,0.012390092503106812,0.9941915273666382,0.9965300559997559,0.7240938544273376,90.61187620001147,290700.0,0.9922779922779923,0.0038363201993568243,0.942597304217997,0.952456804553819,0.9356284762111491,0.01256713175547133,0.9951676726341248,0.9967939853668213,0.7861730456352234
5,d4_lr0.001,results/hyperparameter_tuning\deep_mlp\runs\d4_lr0.001,deep,0.001,128,0.009327234449304748,nan,nan,0.0031621311913098693,50,classification,50,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128|128,128,1,128,1,128,3,0.07525399916929237,5,0.09990671094459014,9.20381661341699e-05,0.009327234449304748,0.0031621311913098693,nan,nan,0.9854077253218884,1.0,0.9153233493098778,0.9403964175434681,0.9252568077449107,0.023712338911429164,0.995164155960083,0.9975615739822388,0.8332643508911133,85.38056859996868,307212.0,0.9832689832689833,0.005929242920231142,0.9069065123571569,0.9109008901843554,0.9101285571626749,0.02569532470247292,0.9891059398651123,0.993050217628479,0.7573014497756958
6,d4_lr0.01,results/hyperparameter_tuning\deep_mlp\runs\d4_lr0.01,deep,0.01,128,0.006929728682972338,nan,nan,0.023330792091137743,50,classification,50,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128|128,128,1,128,1,128,3,0.047120241456277384,3,0.0770968922798106,0.002566903704065027,0.006929728682972338,0.023330792091137743,nan,nan,0.9914163090128756,0.9997240871884484,0.9542855580869737,0.9788166127574415,0.9641667447906447,0.014448626584345826,0.9979060292243958,0.9993520379066467,0.8308928608894348,98.55675440002233,307212.0,0.9922779922779923,0.002185586029651725,0.939057162841228,0.9425992828769844,0.9360831719783449,0.012909672103345558,0.9932869076728821,0.9953472018241882,0.7285401821136475
7,d4_lr0.0001,results/hyperparameter_tuning\deep_mlp\runs\d4_lr0.0001,deep,0.0001,128,0.012749936089495241,nan,nan,0.519399079797135,50,classification,50,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128|128,128,1,128,1,128,3,0.1265269724084584,20,0.1265269724084584,0.047815372171575096,0.012749936089495241,0.519399079797135,nan,nan,0.9725321888412017,0.9942978018946013,0.8797133599586444,0.8804003563235202,0.8799697748355405,0.04576094566162674,0.9608051776885986,0.9684277176856995,0.6909202337265015,71.24779749999288,307212.0,0.9768339768339769,0.018845951823091758,0.9108738866738854,0.9727091124245689,0.8991466439709038,0.042285039069406866,0.957987904548645,0.9643327593803406,0.6904492974281311
8,d4_lr0.0005,results/hyperparameter_tuning\deep_mlp\runs\d4_lr0.0005,deep,0.0005,128,0.012664075023114955,nan,nan,0.016663185848384547,50,classification,50,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128|128,128,1,128,1,128,3,0.08655392563394211,6,0.1083378857809075,0.00040905671735880857,0.012664075023114955,0.016663185848384547,nan,nan,0.98068669527897,1.0,0.9173086905049025,0.9493873139159957,0.9269097220916432,0.031913623783444256,0.9929923415184021,0.9960219264030457,0.8391533493995667,66.64252350002062,307212.0,0.9832689832689833,0.0066071346510842765,0.8946788326922251,0.894327217881313,0.8955425071174906,0.029468496543756762,0.9817685484886169,0.9854075908660889,0.7679136395454407
9,d5_lr0.001,results/hyperparameter_tuning\deep_mlp\runs\d5_lr0.001,deep,0.001,128,0.014253559644641785,nan,nan,0.3958634186238412,50,classification,50,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128|128|128,128,1,128,1,128,3,0.11179321922457781,5,0.17546510371527446,0.0071854267154295975,0.014253559644641785,0.3958634186238412,nan,nan,0.9811158798283262,0.9978846684447714,0.9054696260137529,0.9069828476644638,0.9029279401324537,0.03357109427343969,0.9944669008255005,0.9966943860054016,0.8787409067153931,70.32946149999043,323724.0,0.9841269841269841,0.006827532068847467,0.8919951693258069,0.8879368403782718,0.8974896530573652,0.028889862419439964,0.9864960312843323,0.9892930388450623,0.8130768537521362
10,d5_lr0.01,results/hyperparameter_tuning\deep_mlp\runs\d5_lr0.01,deep,0.01,128,0.004968795589623025,nan,nan,0.7097091571140646,50,classification,50,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128|128|128,128,1,128,1,128,3,0.06771233324840857,4,0.08227199448868153,0.045572350793454314,0.004968795589623025,0.7097091571140646,nan,nan,0.988412017167382,0.992090499402189,0.934811887651326,0.9579053798502245,0.9434890807959261,0.016792973899395526,0.9937687516212463,0.9974300265312195,0.6814705729484558,98.13691299996572,323724.0,0.9858429858429858,0.005881381221515121,0.9007858407872625,0.9005448295056698,0.9012341816062831,0.021258305609994133,0.9925824403762817,0.9966609477996826,0.7085670828819275
11,d5_lr0.0001,results/hyperparameter_tuning\deep_mlp\runs\d5_lr0.0001,deep,0.0001,128,0.00816248559388989,nan,nan,0.46957150445185414,50,classification,50,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128|128|128,128,1,128,1,128,3,0.17120420587420976,20,0.17120420587420976,0.022043778130641244,0.00816248559388989,0.46957150445185414,nan,nan,0.9686695278969957,0.9986204359422423,0.8693448751333591,0.8859731738316388,0.8759334215573009,0.05037648503353448,0.9724954962730408,0.980185329914093,0.7347456216812134,56.05340570001863,323724.0,0.9686829686829687,0.003967034169810345,0.8701181017961993,0.8685871681358678,0.8750731898350885,0.048587672151074256,0.9704984426498413,0.9788938164710999,0.7108186483383179
12,d5_lr0.0005,results/hyperparameter_tuning\deep_mlp\runs\d5_lr0.0005,deep,0.0005,128,0.013308895376107207,nan,nan,0.006330041563643247,50,classification,50,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128|128|128,128,1,128,1,128,3,0.1347454153928634,7,0.16858579621294537,0.0001486904173063718,0.013308895376107207,0.006330041563643247,nan,nan,0.9802575107296138,1.0,0.9023425759404594,0.9234035579899641,0.9114361527482014,0.03413438721844185,0.993506908416748,0.9961931705474854,0.860133707523346,58.05091360001825,323724.0,0.978978978978979,0.010171747051662083,0.905763429848964,0.8974740298488464,0.91898823225638,0.03431508080765891,0.9861048460006714,0.9902257919311523,0.7941892743110657
13,d6_lr0.001,results/hyperparameter_tuning\deep_mlp\runs\d6_lr0.001,deep,0.001,128,0.010726397065645637,nan,nan,0.018630476952307722,50,classification,50,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,,128|128|128|128|128|128,128,1,128,1,128,3,0.0983076906671084,14,0.11608777902900469,0.00022343292176961558,0.010726397065645637,0.018630476952307722,nan,nan,0.9849785407725322,0.9999080290628162,0.9022715989151001,0.9145366217465501,0.908144270639574,0.026143380869983676,0.9955679774284363,0.9975281953811646,0.8670253157615662,80.95576380001148,340236.0,0.9875589875589875,0.0072946190731763925,0.9351204409177033,0.9429895135415922,0.9301176485609726,0.022041650328737426,0.9941911101341248,0.995929479598999,0.8561964631080627
