trial_id,run_name,run_dir,model,seq_len,lr,batch_size,epochs,val_ratio,split_seed,dropout,mlp_hidden_sizes,deep_hidden_sizes,rnn_hidden_size,rnn_num_layers,lstm_hidden_size,lstm_num_layers,residual_hidden_size,residual_num_blocks,best_val_loss,best_epoch,final_val_loss,final_train_loss,final_ece,final_val_accuracy,final_train_accuracy
1,d3_lr0.001,results/hyperparameter_tuning\deep_mlp\runs\d3_lr0.001,deep,50,0.001,128,20,0.2,42,0.0,None,128|128|128,128,1,128,1,128,3,77154.28954221492,5,79139.21847587719,70510.41663527397,39.797001955801974,0.0021929824561403508,0.0016438356164383563
2,d3_lr0.01,results/hyperparameter_tuning\deep_mlp\runs\d3_lr0.01,deep,50,0.01,128,20,0.2,42,0.0,None,128|128|128,128,1,128,1,128,3,77470.16865405702,5,78559.78070175438,77913.32483946918,28.199977473208772,0.0,0.0
3,d3_lr0.0001,results/hyperparameter_tuning\deep_mlp\runs\d3_lr0.0001,deep,50,0.0001,128,20,0.2,42,0.0,None,128|128|128,128,1,128,1,128,3,77239.33114035087,18,77350.80701754386,77875.3251541096,34.32251685962342,0.0,0.000547945205479452
4,d3_lr0.0005,results/hyperparameter_tuning\deep_mlp\runs\d3_lr0.0005,deep,50,0.0005,128,20,0.2,42,0.0,None,128|128|128,128,1,128,1,128,3,76247.29625822368,4,78986.93612938597,74505.5420119863,41.21917791533888,0.0,0.000547945205479452
5,d4_lr0.001,results/hyperparameter_tuning\deep_mlp\runs\d4_lr0.001,deep,50,0.001,128,20,0.2,42,0.0,None,128|128|128|128,128,1,128,1,128,3,77448.09635416667,4,81492.84998629386,74425.00741438357,60.69607062088815,0.0,0.000547945205479452
6,d4_lr0.01,results/hyperparameter_tuning\deep_mlp\runs\d4_lr0.01,deep,50,0.01,128,20,0.2,42,0.0,None,128|128|128|128,128,1,128,1,128,3,77297.8747944079,12,95776.64089912281,79829.5613484589,128.69425355342395,0.0,0.000547945205479452
7,d4_lr0.0001,results/hyperparameter_tuning\deep_mlp\runs\d4_lr0.0001,deep,50,0.0001,128,20,0.2,42,0.0,None,128|128|128|128,128,1,128,1,128,3,77950.11821546052,10,78074.50089089913,76977.04570205479,35.65794359173691,0.0,0.001095890410958904
8,d4_lr0.0005,results/hyperparameter_tuning\deep_mlp\runs\d4_lr0.0005,deep,50,0.0005,128,20,0.2,42,0.0,None,128|128|128|128,128,1,128,1,128,3,77163.02384868421,4,78125.71169133772,75215.11215967465,27.54940099883498,0.0,0.0
9,d5_lr0.001,results/hyperparameter_tuning\deep_mlp\runs\d5_lr0.001,deep,50,0.001,128,20,0.2,42,0.0,None,128|128|128|128|128,128,1,128,1,128,3,76975.47155975878,11,81091.82250548246,64353.386410530824,47.60457008763363,0.0021929824561403508,0.001095890410958904
10,d5_lr0.01,results/hyperparameter_tuning\deep_mlp\runs\d5_lr0.01,deep,50,0.01,128,20,0.2,42,0.0,None,128|128|128|128|128,128,1,128,1,128,3,77424.22053179824,6,78103.32236842105,79734.43399400685,39.01438355027584,0.0,0.002191780821917808
11,d5_lr0.0001,results/hyperparameter_tuning\deep_mlp\runs\d5_lr0.0001,deep,50,0.0001,128,20,0.2,42,0.0,None,128|128|128|128|128,128,1,128,1,128,3,77563.0978618421,17,77652.69195449562,77877.05643835616,30.06729179516173,0.0,0.002191780821917808
12,d5_lr0.0005,results/hyperparameter_tuning\deep_mlp\runs\d5_lr0.0005,deep,50,0.0005,128,20,0.2,42,0.0,None,128|128|128|128|128,128,1,128,1,128,3,77544.88171600878,7,79585.44853344298,74550.76832191781,39.5731011775502,0.0,0.001095890410958904
13,d6_lr0.001,results/hyperparameter_tuning\deep_mlp\runs\d6_lr0.001,deep,50,0.001,128,20,0.2,42,0.0,None,128|128|128|128|128|128,128,1,128,1,128,3,77818.17872807017,3,78756.75870339913,73685.96988869863,44.1252386528149,0.0021929824561403508,0.0016438356164383563
14,d6_lr0.01,results/hyperparameter_tuning\deep_mlp\runs\d6_lr0.01,deep,50,0.01,128,20,0.2,42,0.0,None,128|128|128|128|128|128,128,1,128,1,128,3,76978.24472313597,8,80779.09923245614,75828.99217037672,50.426412080463614,0.0,0.0
15,d6_lr0.0001,results/hyperparameter_tuning\deep_mlp\runs\d6_lr0.0001,deep,50,0.0001,128,20,0.2,42,0.0,None,128|128|128|128|128|128,128,1,128,1,128,3,76876.25671600878,20,76876.25671600878,78052.53563356164,26.934292575769256,0.0043859649122807015,0.0016438356164383563
16,d6_lr0.0005,results/hyperparameter_tuning\deep_mlp\runs\d6_lr0.0005,deep,50,0.0005,128,20,0.2,42,0.0,None,128|128|128|128|128|128,128,1,128,1,128,3,78043.27515076754,15,78812.31668037281,68366.37722174657,36.15101382606908,0.0021929824561403508,0.0027397260273972603
