trial_id,run_name,run_dir,model,learning_rate,hidden_size,ECE,RMSE,R2,grad_norm,timestep,task,seq_len,lr,batch_size,epochs,val_ratio,split_seed,dropout,train_path,val_path,test_path,max_features,max_seq_len,mlp_hidden_sizes,deep_hidden_sizes,rnn_hidden_size,rnn_num_layers,lstm_hidden_size,lstm_num_layers,residual_hidden_size,residual_num_blocks,best_val_loss,best_epoch,final_val_loss,final_train_loss,final_ece,final_grad_norm,final_rmse,final_r2,training_time,num_parameters
1,h32_lr0.001,results/hyperparameter_tuning\lstm\runs\h32_lr0.001,lstm,0.001,32,0.00025083041826704725,0.006451614413227764,0.1796472177327466,0.0020371850781221172,10,regression,10,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,32,1,32,1,32,3,0.005843853448354399,20,0.005843853448354399,0.005753530574371609,0.00025083041826704725,0.0020371850781221172,0.006451614413227764,0.1796472177327466,50.59599950001575,24960.0
2,h32_lr0.001,results/hyperparameter_tuning\lstm\runs\h32_lr0.001,lstm,0.001,32,0.00037637038885224414,0.006456778754101334,0.17827503285725244,0.002233059901324978,20,regression,20,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,32,1,32,1,32,3,0.005853138533183677,20,0.005853138533183677,0.0057357243513445335,0.00037637038885224414,0.002233059901324978,0.006456778754101334,0.17827503285725244,68.43776790000265,24960.0
3,h32_lr0.001,results/hyperparameter_tuning\lstm\runs\h32_lr0.001,lstm,0.001,32,0.0001399622857288998,0.006436923150654344,0.18322852160886838,0.002265377242459051,30,regression,30,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,32,1,32,1,32,3,0.005817057620733976,20,0.005817057620733976,0.005745378829555641,0.0001399622857288998,0.002265377242459051,0.006436923150654344,0.18322852160886838,77.81824750005035,24960.0
4,h32_lr0.01,results/hyperparameter_tuning\lstm\runs\h32_lr0.01,lstm,0.01,32,0.00026991323040382453,0.0064285529590346925,0.18550147824155194,0.0018058584076614628,10,regression,10,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,32,1,32,1,32,3,0.005788346882141435,10,0.005802150172440661,0.005436017490089563,0.00026991323040382453,0.0018058584076614628,0.0064285529590346925,0.18550147824155194,51.046254399989266,24960.0
5,h32_lr0.01,results/hyperparameter_tuning\lstm\runs\h32_lr0.01,lstm,0.01,32,0.00025174361778785567,0.006482580135297863,0.1716946617610342,0.001845077138384227,20,regression,20,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,32,1,32,1,32,3,0.005799668907415455,12,0.005900010484589599,0.005386576830681691,0.00025174361778785567,0.001845077138384227,0.006482580135297863,0.1716946617610342,61.40297559997998,24960.0
6,h32_lr0.01,results/hyperparameter_tuning\lstm\runs\h32_lr0.01,lstm,0.01,32,9.17339132020941e-05,0.0064352478940954356,0.183653607846186,0.0017699300179196255,30,regression,30,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,32,1,32,1,32,3,0.005747175170409103,12,0.005814030133187771,0.0053777022043081475,9.17339132020941e-05,0.0017699300179196255,0.0064352478940954356,0.183653607846186,69.09121360001154,24960.0
7,h32_lr0.0001,results/hyperparameter_tuning\lstm\runs\h32_lr0.0001,lstm,0.0001,32,0.00029022464921056487,0.006685863099208191,0.11899411846652164,0.0021274463147624976,10,regression,10,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,32,1,32,1,32,3,0.006275921018275711,20,0.006275921018275711,0.006243960961441535,0.00029022464921056487,0.0021274463147624976,0.006685863099208191,0.11899411846652164,52.88578429998597,24960.0
8,h32_lr0.0001,results/hyperparameter_tuning\lstm\runs\h32_lr0.0001,lstm,0.0001,32,0.0002732393272154437,0.006704961889605146,0.11389068993057316,0.0020182956965135754,20,regression,20,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,32,1,32,1,32,3,0.006311747647802689,20,0.006311747647802689,0.006267045583285432,0.0002732393272154437,0.0020182956965135754,0.006704961889605146,0.11389068993057316,72.93661779997637,24960.0
9,h32_lr0.0001,results/hyperparameter_tuning\lstm\runs\h32_lr0.0001,lstm,0.0001,32,0.00022691000605963414,0.006673649733484989,0.12204807912341031,0.0021690477184104586,30,regression,30,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,32,1,32,1,32,3,0.006252785543160093,20,0.006252785543160093,0.006258699125155293,0.00022691000605963414,0.0021690477184104586,0.006673649733484989,0.12204807912341031,89.83164670004044,24960.0
10,h32_lr0.0005,results/hyperparameter_tuning\lstm\runs\h32_lr0.0005,lstm,0.0005,32,0.00018074348617185172,0.006528105096099557,0.16007961178242713,0.002202876616563216,10,regression,10,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,10,,,32,1,32,1,32,3,0.005983245117378603,20,0.005983245117378603,0.005920008273162368,0.00018074348617185172,0.002202876616563216,0.006528105096099557,0.16007961178242713,44.74879919999512,24960.0
11,h32_lr0.0005,results/hyperparameter_tuning\lstm\runs\h32_lr0.0005,lstm,0.0005,32,0.0003701177383875108,0.006510949530731881,0.16442905488867388,0.0023368289152934404,20,regression,20,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,20,,,32,1,32,1,32,3,0.005951763260725293,20,0.005951763260725293,0.005873495257719799,0.0003701177383875108,0.0023368289152934404,0.006510949530731881,0.16442905488867388,57.31780479999725,24960.0
12,h32_lr0.0005,results/hyperparameter_tuning\lstm\runs\h32_lr0.0005,lstm,0.0005,32,0.00013395355406006982,0.006503721185542548,0.16618876046089393,0.002344723695559057,30,regression,30,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,30,,,32,1,32,1,32,3,0.005938415044858571,20,0.005938415044858571,0.005891509052433293,0.00013395355406006982,0.002344723695559057,0.006503721185542548,0.16618876046089393,75.56104869995033,24960.0
