trial_id,run_name,run_dir,model,ECE,grad_norm,timestep,task,RMSE,R2,seq_len,lr,batch_size,epochs,val_ratio,split_seed,dropout,mlp_hidden_sizes,deep_hidden_sizes,rnn_hidden_size,rnn_num_layers,lstm_hidden_size,lstm_num_layers,residual_hidden_size,residual_num_blocks,best_val_loss,best_epoch,final_val_loss,final_train_loss,final_ece,final_rmse,final_r2,final_val_accuracy,final_train_accuracy
1,h32_lr0.001,results/hyperparameter_tuning\lstm\runs\h32_lr0.001,lstm,475.9134591085869,NA,20,finsen,551.8760028380492,-2.9010315486550926,50,0.001,128,20,0.2,42,0.0,,,32,1,32,1,32,3,304567.13157894736,20,304567.13157894736,326682.7255821918,475.9134591085869,551.8760028380492,-2.9010315486550926,0.0,0.0
2,h32_lr0.01,results/hyperparameter_tuning\lstm\runs\h32_lr0.01,lstm,408.14936145983245,NA,20,finsen,494.6305308717227,-2.1337062327992418,50,0.01,128,20,0.2,42,0.0,,,32,1,32,1,32,3,244659.37253289475,20,244659.37253289475,265093.0784760274,408.14936145983245,494.6305308717227,-2.1337062327992418,0.0,0.0
3,h32_lr0.0001,results/hyperparameter_tuning\lstm\runs\h32_lr0.0001,lstm,483.46305807013255,NA,20,finsen,558.4014532995587,-2.9938295154876338,50,0.0001,128,20,0.2,42,0.0,,,32,1,32,1,32,3,311812.1853070175,20,311812.1853070175,334165.50505136984,483.46305807013255,558.4014532995587,-2.9938295154876338,0.0,0.0
4,h32_lr0.0005,results/hyperparameter_tuning\lstm\runs\h32_lr0.0005,lstm,479.2334875809519,NA,20,finsen,554.7413143327345,-2.94164461181352,50,0.0005,128,20,0.2,42,0.0,,,32,1,32,1,32,3,307737.9331140351,20,307737.9331140351,329912.9644178082,479.2334875809519,554.7413143327345,-2.94164461181352,0.0,0.0
5,h64_lr0.001,results/hyperparameter_tuning\lstm\runs\h64_lr0.001,lstm,464.69578471936677,NA,20,finsen,542.2321207526327,-2.7658838743036345,50,0.001,128,20,0.2,42,0.0,,,64,1,64,1,64,3,294015.68914473685,20,294015.68914473685,315845.72506849316,464.69578471936677,542.2321207526327,-2.7658838743036345,0.0,0.0
6,h64_lr0.01,results/hyperparameter_tuning\lstm\runs\h64_lr0.01,lstm,0.0,NA,20,finsen,452.25443569316997,-1.6197636541793177,50,0.01,128,20,0.2,42,0.0,,,64,1,64,1,64,3,204534.07648026315,20,204534.07648026315,223843.59533390412,0.0,452.25443569316997,-1.6197636541793177,0.0043859649122807015,0.0016438356164383563
7,h64_lr0.0001,results/hyperparameter_tuning\lstm\runs\h64_lr0.0001,lstm,482.61662861338823,NA,20,finsen,557.6674690980877,-2.983337131654279,50,0.0001,128,20,0.2,42,0.0,,,64,1,64,1,64,3,310993.0197368421,20,310993.0197368421,333288.12969178084,482.61662861338823,557.6674690980877,-2.983337131654279,0.0,0.0
8,h64_lr0.0005,results/hyperparameter_tuning\lstm\runs\h64_lr0.0005,lstm,474.2802544309382,NA,20,finsen,550.4682444839202,-2.881154962490462,50,0.0005,128,20,0.2,42,0.0,,,64,1,64,1,64,3,303015.2809758772,20,303015.2809758772,325069.2479623288,474.2802544309382,550.4682444839202,-2.881154962490462,0.0,0.0
9,h128_lr0.001,results/hyperparameter_tuning\lstm\runs\h128_lr0.001,lstm,443.7913978308962,NA,20,finsen,524.4275653586933,-2.5226335337249557,50,0.001,128,20,0.2,42,0.0,,,128,1,128,1,128,3,275024.2817982456,20,275024.2817982456,296364.40467465756,443.7913978308962,524.4275653586933,-2.5226335337249557,0.0,0.0
10,h128_lr0.01,results/hyperparameter_tuning\lstm\runs\h128_lr0.01,lstm,0.0,NA,20,finsen,368.9637171643859,-0.7436678672962271,50,0.01,128,20,0.2,42,0.0,,,128,1,128,1,128,3,136134.2147752193,20,136134.2147752193,150112.2953938356,0.0,368.9637171643859,-0.7436678672962271,0.0,0.001095890410958904
11,h128_lr0.0001,results/hyperparameter_tuning\lstm\runs\h128_lr0.0001,lstm,478.3400662740072,NA,20,finsen,553.9603492264283,-2.9305543251632553,50,0.0001,128,20,0.2,42,0.0,,,128,1,128,1,128,3,306872.0668859649,20,306872.0668859649,329161.1283732877,478.3400662740072,553.9603492264283,-2.9305543251632553,0.0,0.0
12,h128_lr0.0005,results/hyperparameter_tuning\lstm\runs\h128_lr0.0005,lstm,460.5359897948148,NA,20,finsen,538.6714143190883,-2.716586981228985,50,0.0005,128,20,0.2,42,0.0,,,128,1,128,1,128,3,290166.9087171053,20,290166.9087171053,311891.5228767123,460.5359897948148,538.6714143190883,-2.716586981228985,0.0,0.0
13,h256_lr0.001,results/hyperparameter_tuning\lstm\runs\h256_lr0.001,lstm,401.534067722789,NA,20,finsen,489.1861304607814,-2.065100457950615,50,0.001,128,20,0.2,42,0.0,,,256,1,256,1,256,3,239303.08004385966,20,239303.08004385966,259456.6115839041,401.534067722789,489.1861304607814,-2.065100457950615,0.0,0.0
14,h256_lr0.01,results/hyperparameter_tuning\lstm\runs\h256_lr0.01,lstm,0.0,NA,20,finsen,293.9267243254614,-0.10655904316720988,50,0.01,128,20,0.2,42,0.0,,,256,1,256,1,256,3,86392.92036732456,20,86392.92036732456,91948.18872431507,0.0,293.9267243254614,-0.10655904316720988,0.0021929824561403508,0.0016438356164383563
15,h256_lr0.0001,results/hyperparameter_tuning\lstm\runs\h256_lr0.0001,lstm,471.06214971709676,NA,20,finsen,547.6922302867717,-2.842108298637014,50,0.0001,128,20,0.2,42,0.0,,,256,1,256,1,256,3,299966.77247807017,20,299966.77247807017,322065.04844178085,471.06214971709676,547.6922302867717,-2.842108298637014,0.0,0.0
16,h256_lr0.0005,results/hyperparameter_tuning\lstm\runs\h256_lr0.0005,lstm,438.40607325236,NA,20,finsen,519.8782195892985,-2.4617817837114306,50,0.0005,128,20,0.2,42,0.0,,,256,1,256,1,256,3,270273.3629385965,20,270273.3629385965,291448.7673630137,438.40607325236,519.8782195892985,-2.4617817837114306,0.0,0.0
