trial_id,run_name,run_dir,model,learning_rate,hidden_size,ECE,RMSE,R2,grad_norm,timestep,task,seq_len,lr,batch_size,epochs,val_ratio,split_seed,dropout,train_path,val_path,test_path,max_features,max_seq_len,mlp_hidden_sizes,deep_hidden_sizes,rnn_hidden_size,rnn_num_layers,lstm_hidden_size,lstm_num_layers,residual_hidden_size,residual_num_blocks,best_val_loss,best_epoch,final_val_loss,final_train_loss,final_ece,final_grad_norm,final_rmse,final_r2,final_val_accuracy,final_train_accuracy,final_val_precision,final_val_recall,final_val_f1,final_val_brier,final_val_avg_confidence,final_val_confidence_correct,final_val_confidence_incorrect,training_time,num_parameters,test_accuracy,test_ece,test_f1_score,test_precision,test_recall,test_brier_score,test_avg_confidence,test_confidence_correct,test_confidence_incorrect
1,h32_lr0.001,results/hyperparameter_tuning\mlp\runs\h32_lr0.001,mlp,0.001,32,0.003198573364208696,nan,nan,0.009126734479863593,50,classification,50,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,32|32,,32,1,32,1,32,3,0.022033293135943842,20,0.022033293135943842,0.0014871832339736699,0.003198573364208696,0.009126734479863593,nan,nan,0.9931330472103004,1.0,0.9767271747938914,0.9636397672132923,0.969589359849432,0.010012248175657283,0.9941343665122986,0.996103048324585,0.7094124555587769,38.993011499987915,65484.0,,,,,,,,,
2,h32_lr0.01,results/hyperparameter_tuning\mlp\runs\h32_lr0.01,mlp,0.01,32,0.0037660960859494863,nan,nan,0.00015106385765610935,50,classification,50,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,32|32,,32,1,32,1,32,3,0.019908051567288042,8,0.022409608090983888,1.779431361831376e-05,0.0037660960859494863,0.00015106385765610935,nan,nan,0.9935622317596566,1.0,0.9815416540087593,0.9930609853370944,0.9867951224774761,0.009749323677162745,0.9967050552368164,0.9981402158737183,0.775209367275238,35.8389011999825,65484.0,0.9935649935649936,0.00457936031835781,0.95183340895733,0.9940142709951454,0.9375246564387179,0.011321097784157646,0.9975578784942627,0.9986312985420227,0.8318063020706177
3,h32_lr0.0001,results/hyperparameter_tuning\mlp\runs\h32_lr0.0001,mlp,0.0001,32,0.16650984035285243,nan,nan,0.275468936189437,50,classification,50,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,32|32,,32,1,32,1,32,3,0.5034104520670846,20,0.5034104520670846,0.5044101009145893,0.16650984035285243,0.275468936189437,nan,nan,0.8862660944206009,0.8849443575830037,0.5772444361267086,0.5996446842409289,0.5705893405080422,0.20114305884851738,0.7197562456130981,0.7758512496948242,0.28263893723487854,40.24381720001111,65484.0,,,,,,,,,
4,h32_lr0.0005,results/hyperparameter_tuning\mlp\runs\h32_lr0.0005,mlp,0.0005,32,0.008134674309660955,nan,nan,0.03775413088530466,50,classification,50,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,32|32,,32,1,32,1,32,3,0.030531400685146644,20,0.030531400685146644,0.009118135974659472,0.008134674309660955,0.03775413088530466,nan,nan,0.9905579399141631,0.9993562034397131,0.9909292081863564,0.9209443882153434,0.9310255448753763,0.013193457114632393,0.9871375560760498,0.9903068542480469,0.6546468138694763,39.9903062999947,65484.0,,,,,,,,,
5,h64_lr0.001,results/hyperparameter_tuning\mlp\runs\h64_lr0.001,mlp,0.001,64,0.0027007025070967636,nan,nan,0.00496765939914058,50,classification,50,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,64|64,,64,1,64,1,64,3,0.024562710421279776,17,0.024617146799748548,0.0007094815583488646,0.0027007025070967636,0.00496765939914058,nan,nan,0.9927038626609442,1.0,0.9654284441740821,0.9637128942191434,0.9644932594986796,0.01090682996519144,0.9934972524642944,0.9958881139755249,0.6682050824165344,42.053857999970205,133004.0,,,,,,,,,
6,h64_lr0.01,results/hyperparameter_tuning\mlp\runs\h64_lr0.01,mlp,0.01,64,0.004076660011970948,nan,nan,0.0001429093161333635,50,classification,50,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,64|64,,64,1,64,1,64,3,0.02487577237108874,5,0.026689929652823206,1.707425962778246e-05,0.004076660011970948,0.0001429093161333635,nan,nan,0.9935622317596566,1.0,0.9692768408913288,0.9780752679565173,0.9732026868772653,0.0104169151951131,0.9974613785743713,0.9985457062721252,0.8301079869270325,30.30715589999454,133004.0,,,,,,,,,
7,h64_lr0.0001,results/hyperparameter_tuning\mlp\runs\h64_lr0.0001,mlp,0.0001,64,0.11943335519072325,nan,nan,0.22592565546133134,50,classification,50,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,64|64,,64,1,64,1,64,3,0.23749171454507395,20,0.23749171454507395,0.23065522342446118,0.11943335519072325,0.22592565546133134,nan,nan,0.9660944206008584,0.9653269566816886,0.790798907765384,0.7960923533835039,0.792494151399206,0.09543619689660011,0.8492125868797302,0.8663985133171082,0.35952138900756836,40.26727130002109,133004.0,,,,,,,,,
8,h64_lr0.0005,results/hyperparameter_tuning\mlp\runs\h64_lr0.0005,mlp,0.0005,64,0.004397026203220954,nan,nan,0.018439188462533493,50,classification,50,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,64|64,,64,1,64,1,64,3,0.021999018885547,20,0.021999018885547,0.003261506953809894,0.004397026203220954,0.018439188462533493,nan,nan,0.9939914163090129,0.9998160581256323,0.9938738667149417,0.9512949837288031,0.9655745553711842,0.010152982734204898,0.991779088973999,0.993408739566803,0.7221805453300476,37.19040059996769,133004.0,,,,,,,,,
9,h128_lr0.001,results/hyperparameter_tuning\mlp\runs\h128_lr0.001,mlp,0.001,128,0.0038113785915620734,nan,nan,0.0017377778789317423,50,classification,50,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,128|128,,128,1,128,1,128,3,0.02159180566988278,11,0.022183318134765,0.0002188788087664082,0.0038113785915620734,0.0017377778789317423,nan,nan,0.9931330472103004,1.0,0.9765004910389892,0.9646568070906264,0.9699939485184546,0.009741609920881567,0.9957934617996216,0.9977364540100098,0.7147932052612305,37.9103657999658,274188.0,,,,,,,,,
10,h128_lr0.01,results/hyperparameter_tuning\mlp\runs\h128_lr0.01,mlp,0.01,128,0.0057992625901627515,nan,nan,2.84776925671955e-05,50,classification,50,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,128|128,,128,1,128,1,128,3,0.024639992833201466,5,0.035761361097509256,1.6956159209795265e-06,0.0057992625901627515,2.84776925671955e-05,nan,nan,0.9931330472103004,1.0,0.9691861668080666,0.9783117893327445,0.973288460384471,0.012365806990646799,0.9986822605133057,0.9991984963417053,0.924015998840332,31.189220900007058,274188.0,,,,,,,,,
11,h128_lr0.0001,results/hyperparameter_tuning\mlp\runs\h128_lr0.0001,mlp,0.0001,128,0.03879308998584743,nan,nan,0.12341985333286146,50,classification,50,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,128|128,,128,1,128,1,128,3,0.07763065076692933,20,0.07763065076692933,0.06469345324040884,0.03879308998584743,0.12341985333286146,nan,nan,0.9892703862660944,0.993837947208682,0.9012795235264818,0.9026252466031837,0.9017574141085212,0.02650438543301056,0.9506357312202454,0.9547919631004333,0.5674277544021606,38.03466790000675,274188.0,,,,,,,,,
12,h128_lr0.0005,results/hyperparameter_tuning\mlp\runs\h128_lr0.0005,mlp,0.0005,128,0.003168284227919646,nan,nan,0.007396891900816303,50,classification,50,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,128|128,,128,1,128,1,128,3,0.021395719256012226,20,0.021395719256012226,0.0010371182882978622,0.003168284227919646,0.007396891900816303,nan,nan,0.9927038626609442,1.0,0.9650892679528521,0.9644229004438555,0.9647030990497497,0.009953156898647255,0.9934955835342407,0.9961031675338745,0.6387180089950562,133.60936269996455,274188.0,,,,,,,,,
13,h256_lr0.001,results/hyperparameter_tuning\mlp\runs\h256_lr0.001,mlp,0.001,256,0.0026119840375343276,nan,nan,0.0006313458576406377,50,classification,50,0.001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,256|256,,256,1,256,1,256,3,0.02017408499710038,11,0.020586607391774144,6.715209822146752e-05,0.0026119840375343276,0.0006313458576406377,nan,nan,0.9935622317596566,1.0,0.977017955763699,0.9644229913421047,0.970142571638838,0.008644165885165355,0.9961742162704468,0.9982542395591736,0.6751453280448914,90.43468449998181,581132.0,,,,,,,,,
14,h256_lr0.01,results/hyperparameter_tuning\mlp\runs\h256_lr0.01,mlp,0.01,256,0.004378175505241088,nan,nan,2.6444434241940304e-05,50,classification,50,0.01,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,256|256,,256,1,256,1,256,3,0.02902967813604635,3,0.03729755365251775,2.274209214554298e-06,0.004378175505241088,2.6444434241940304e-05,nan,nan,0.9935622317596566,1.0,0.9659800925760758,0.9658806944645275,0.9658848755000444,0.010825611126778054,0.998369574546814,0.9993225336074829,0.8513105511665344,52.26981450000312,581132.0,,,,,,,,,
15,h256_lr0.0001,results/hyperparameter_tuning\mlp\runs\h256_lr0.0001,mlp,0.0001,256,0.010340662569191283,nan,nan,0.06514170586832674,50,classification,50,0.0001,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,256|256,,256,1,256,1,256,3,0.032541499245320266,20,0.032541499245320266,0.018322306785279907,0.010340662569191283,0.06514170586832674,nan,nan,0.9918454935622317,0.9967810171985653,0.9056610876583516,0.908696956755776,0.9070871245193911,0.012681764775608815,0.9825348258018494,0.9854802489280701,0.624273419380188,70.70550869998988,581132.0,,,,,,,,,
16,h256_lr0.0005,results/hyperparameter_tuning\mlp\runs\h256_lr0.0005,mlp,0.0005,256,0.0029988361274735633,nan,nan,0.0030896556849254833,50,classification,50,0.0005,128,20,0.2,42,0.0,data/finsen/processed/train.csv,data/finsen/processed/val.csv,data/finsen/processed/test.csv,2000,128,256|256,,256,1,256,1,256,3,0.021383048641963068,15,0.021533165542736585,0.000368083065744129,0.0029988361274735633,0.0030896556849254833,nan,nan,0.9931330472103004,1.0,0.959311234475703,0.9516202415014908,0.9550167610219816,0.009873577280474274,0.9958468079566956,0.9977098703384399,0.7264167070388794,209.12253520003287,581132.0,,,,,,,,,
