trial_id,run_name,run_dir,model,seq_len,lr,batch_size,epochs,val_ratio,split_seed,dropout,mlp_hidden_sizes,deep_hidden_sizes,rnn_hidden_size,rnn_num_layers,lstm_hidden_size,lstm_num_layers,residual_hidden_size,residual_num_blocks,best_val_loss,best_epoch,final_val_loss,final_train_loss,final_ece,final_val_accuracy,final_train_accuracy
1,h32_lr0.001,results/hyperparameter_tuning\mlp\runs\h32_lr0.001,mlp,50,0.001,128,20,0.2,42,0.0,32|32,None,32,1,32,1,32,3,78033.48259320176,9,78467.7579495614,77326.63166952055,25.97748485364412,0.0,0.002191780821917808
2,h32_lr0.01,results/hyperparameter_tuning\mlp\runs\h32_lr0.01,mlp,50,0.01,128,20,0.2,42,0.0,32|32,None,32,1,32,1,32,3,77222.29413377192,5,80838.62061403508,77421.3720505137,50.58360919617769,0.0021929824561403508,0.001095890410958904
3,h32_lr0.0001,results/hyperparameter_tuning\mlp\runs\h32_lr0.0001,mlp,50,0.0001,128,20,0.2,42,0.0,32|32,None,32,1,32,1,32,3,79845.08813048246,20,79845.08813048246,81974.3569905822,52.84587793182909,0.0,0.0
4,h32_lr0.0005,results/hyperparameter_tuning\mlp\runs\h32_lr0.0005,mlp,50,0.0005,128,20,0.2,42,0.0,32|32,None,32,1,32,1,32,3,77727.85197368421,20,77727.85197368421,77737.6725,25.255878515410842,0.0021929824561403508,0.000547945205479452
5,h64_lr0.001,results/hyperparameter_tuning\mlp\runs\h64_lr0.001,mlp,50,0.001,128,20,0.2,42,0.0,64|64,None,64,1,64,1,64,3,77979.32216282895,13,78387.27275219298,75831.18745291096,42.12984252394291,0.0021929824561403508,0.001095890410958904
6,h64_lr0.01,results/hyperparameter_tuning\mlp\runs\h64_lr0.01,mlp,50,0.01,128,20,0.2,42,0.0,64|64,None,64,1,64,1,64,3,76981.94620339913,6,78758.75424890351,76091.47805650685,35.794436939975675,0.0,0.001095890410958904
7,h64_lr0.0001,results/hyperparameter_tuning\mlp\runs\h64_lr0.0001,mlp,50,0.0001,128,20,0.2,42,0.0,64|64,None,64,1,64,1,64,3,78358.87225877192,17,78441.15570175438,79864.15524828767,27.88263789394445,0.0021929824561403508,0.0
8,h64_lr0.0005,results/hyperparameter_tuning\mlp\runs\h64_lr0.0005,mlp,50,0.0005,128,20,0.2,42,0.0,64|64,None,64,1,64,1,64,3,78647.96388432017,10,80533.73410087719,75881.2361344178,55.44546602483382,0.0,0.001095890410958904
9,h128_lr0.001,results/hyperparameter_tuning\mlp\runs\h128_lr0.001,mlp,50,0.001,128,20,0.2,42,0.0,128|128,None,128,1,128,1,128,3,78479.16358278508,12,79362.07483552632,66209.9454280822,42.196226153457374,0.0021929824561403508,0.001095890410958904
10,h128_lr0.01,results/hyperparameter_tuning\mlp\runs\h128_lr0.01,mlp,50,0.01,128,20,0.2,42,0.0,128|128,None,128,1,128,1,128,3,77191.81668037281,5,78338.09313322368,77747.39528253424,39.972494894998114,0.0,0.0016438356164383563
11,h128_lr0.0001,results/hyperparameter_tuning\mlp\runs\h128_lr0.0001,mlp,50,0.0001,128,20,0.2,42,0.0,128|128,None,128,1,128,1,128,3,78953.29248903508,20,78953.29248903508,77472.13959332192,36.24801421583745,0.0,0.000547945205479452
12,h128_lr0.0005,results/hyperparameter_tuning\mlp\runs\h128_lr0.0005,mlp,50,0.0005,128,20,0.2,42,0.0,128|128,None,128,1,128,1,128,3,77509.89672423246,9,78590.77604166667,72891.32690068493,45.506505598101704,0.0,0.002191780821917808
13,h256_lr0.001,results/hyperparameter_tuning\mlp\runs\h256_lr0.001,mlp,50,0.001,128,20,0.2,42,0.0,256|256,None,256,1,256,1,256,3,77741.78056469298,2,79322.5470805921,68915.12523972603,34.180314582690855,0.0,0.002191780821917808
14,h256_lr0.01,results/hyperparameter_tuning\mlp\runs\h256_lr0.01,mlp,50,0.01,128,20,0.2,42,0.0,256|256,None,256,1,256,1,256,3,78019.4725191886,4,78272.37705592105,75317.90986087329,38.174932379471635,0.0,0.000547945205479452
15,h256_lr0.0001,results/hyperparameter_tuning\mlp\runs\h256_lr0.0001,mlp,50,0.0001,128,20,0.2,42,0.0,256|256,None,256,1,256,1,256,3,77651.62582236843,10,78279.26117050438,74772.90487157535,33.51668568661338,0.0,0.000547945205479452
16,h256_lr0.0005,results/hyperparameter_tuning\mlp\runs\h256_lr0.0005,mlp,50,0.0005,128,20,0.2,42,0.0,256|256,None,256,1,256,1,256,3,77073.1641995614,6,78363.87376644737,68820.13293236302,45.42338294313665,0.0021929824561403508,0.0016438356164383563
