trial_id,run_name,run_dir,model,ECE,grad_norm,timestep,task,RMSE,R2,seq_len,lr,batch_size,epochs,val_ratio,split_seed,dropout,mlp_hidden_sizes,deep_hidden_sizes,rnn_hidden_size,rnn_num_layers,lstm_hidden_size,lstm_num_layers,residual_hidden_size,residual_num_blocks,best_val_loss,best_epoch,final_val_loss,final_train_loss,final_ece,final_rmse,final_r2,final_val_accuracy,final_train_accuracy
1,h32_lr0.001,results/hyperparameter_tuning\vanilla_rnn\runs\h32_lr0.001,rnn,474.7114067077637,NA,20,finsen,550.8397396618296,-2.886395289766905,50,0.001,128,20,0.2,42,0.0,,,32,1,32,1,32,3,303424.39994517545,20,303424.39994517545,325540.07059931505,474.7114067077637,550.8397396618296,-2.886395289766905,0.0,0.0
2,h32_lr0.01,results/hyperparameter_tuning\vanilla_rnn\runs\h32_lr0.01,rnn,0.0,NA,20,finsen,479.90590715823953,-1.9499091010529148,50,0.01,128,20,0.2,42,0.0,,,32,1,32,1,32,3,230309.68640350876,20,230309.68640350876,250268.49982020547,0.0,479.90590715823953,-1.9499091010529148,0.0,0.0
3,h32_lr0.0001,results/hyperparameter_tuning\vanilla_rnn\runs\h32_lr0.0001,rnn,483.7058635510897,NA,20,finsen,558.608604134308,-2.996793256251449,50,0.0001,128,20,0.2,42,0.0,,,32,1,32,1,32,3,312043.5734649123,20,312043.5734649123,334349.27493150684,483.7058635510897,558.608604134308,-2.996793256251449,0.0,0.0
4,h32_lr0.0005,results/hyperparameter_tuning\vanilla_rnn\runs\h32_lr0.0005,rnn,479.1318961695621,NA,20,finsen,554.653864244659,-2.94040197857052,50,0.0005,128,20,0.2,42,0.0,,,32,1,32,1,32,3,307640.91282894736,20,307640.91282894736,329826.1107020548,479.1318961695621,554.653864244659,-2.94040197857052,0.0,0.0
5,h64_lr0.001,results/hyperparameter_tuning\vanilla_rnn\runs\h64_lr0.001,rnn,464.9791482624255,NA,20,finsen,542.4749613250294,-2.769257758453023,50,0.001,128,20,0.2,42,0.0,,,64,1,64,1,64,3,294279.0932017544,20,294279.0932017544,316194.7277568493,464.9791482624255,542.4749613250294,-2.769257758453023,0.0,0.0
6,h64_lr0.01,results/hyperparameter_tuning\vanilla_rnn\runs\h64_lr0.01,rnn,0.0,NA,20,finsen,415.2216376948794,-1.2082914778861085,50,0.01,128,20,0.2,42,0.0,,,64,1,64,1,64,3,172408.99561403508,20,172408.99561403508,189353.69819349315,0.0,415.2216376948794,-1.2082914778861085,0.0,0.0016438356164383563
7,h64_lr0.0001,results/hyperparameter_tuning\vanilla_rnn\runs\h64_lr0.0001,rnn,481.36615371704096,NA,20,finsen,556.5835618766156,-2.967867798356645,50,0.0001,128,20,0.2,42,0.0,,,64,1,64,1,64,3,309785.2461622807,20,309785.2461622807,332009.64857876714,481.36615371704096,556.5835618766156,-2.967867798356645,0.0,0.0
8,h64_lr0.0005,results/hyperparameter_tuning\vanilla_rnn\runs\h64_lr0.0005,rnn,473.4013995789645,NA,20,finsen,549.7112447929082,-2.8704876335153835,50,0.0005,128,20,0.2,42,0.0,,,64,1,64,1,64,3,302182.4566885965,20,302182.4566885965,324226.69977739727,473.4013995789645,549.7112447929082,-2.8704876335153835,0.0,0.0
9,h128_lr0.001,results/hyperparameter_tuning\vanilla_rnn\runs\h128_lr0.001,rnn,445.17125668442037,NA,20,finsen,525.5957958213207,-2.538345260945982,50,0.001,128,20,0.2,42,0.0,,,128,1,128,1,128,3,276250.9333881579,20,276250.9333881579,297696.28599315067,445.17125668442037,525.5957958213207,-2.538345260945982,0.0,0.0
10,h128_lr0.01,results/hyperparameter_tuning\vanilla_rnn\runs\h128_lr0.01,rnn,0.0,NA,20,finsen,327.6597412408798,-0.3751263697337852,50,0.01,128,20,0.2,42,0.0,,,128,1,128,1,128,3,107360.90789473684,20,107360.90789473684,117595.97363013698,0.0,327.6597412408798,-0.3751263697337852,0.0,0.000547945205479452
11,h128_lr0.0001,results/hyperparameter_tuning\vanilla_rnn\runs\h128_lr0.0001,rnn,478.62292935555445,NA,20,finsen,554.2098748179378,-2.9340960760627195,50,0.0001,128,20,0.2,42,0.0,,,128,1,128,1,128,3,307148.5893640351,20,307148.5893640351,329356.3301369863,478.62292935555445,554.2098748179378,-2.9340960760627195,0.0,0.0
12,h128_lr0.0005,results/hyperparameter_tuning\vanilla_rnn\runs\h128_lr0.0005,rnn,463.62399124680906,NA,20,finsen,541.3138900320341,-2.7531401719756863,50,0.0005,128,20,0.2,42,0.0,,,128,1,128,1,128,3,293020.71875,20,293020.71875,314854.78345890413,463.62399124680906,541.3138900320341,-2.7531401719756863,0.0,0.0
